Error 'No such file or directory' getting readlink() for file '/home/aron/Projects/bar/dead-target-keeps-moving-reproducer/data-tagfix8/games/Beyond-All-Reason.sdd'
key "AdvSky" is deprecated
Error in Initialize(): [string "LuaUI/Widgets/gui_pip.lua"]:9208: attempt to call field 'CreateShader' (a nil value)
DEAD_TARGET_SETUP variant=remove attacker=armcom#23654 at 3472.7,908.4 target=armflea(none) at 3472.7,1476.4 dist=568.0
DEAD_TARGET_ORDERS frame=30 pos=3472.7,908.4 speed=0.00 queue=1{10[3473,183,1476]} progress=active waypoint=3472.7,916.1 distToTargetSpot=568.0
DEAD_TARGET_DIAG frame=60 pos=3474.8,942.1 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=534.3
DEAD_TARGET_DIAG frame=90 pos=3477.2,979.5 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=496.9
DEAD_TARGET_DIAG frame=120 pos=3479.5,1017.0 speed=1.25 queue=1{10[3473,183,1476]} progress=active waypoint=3480.0,1024.0 distToTargetSpot=459.5
tag=1 frame=129 pos=3480.2,1028.2 speed=1.25 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.3
DEAD_TARGET_TRIGGER frame=129 removed active command id=10 tag=1 attackerPos=3480.2,1028.2
DEAD_TARGET_TRIGGERED frame=129 pos=3480.2,1028.2 speed=1.25 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.3
DEAD_TARGET_DIAG frame=134 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=139 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=144 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=149 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=154 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=159 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=164 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=169 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=174 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=179 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=184 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=189 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=219 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=249 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=279 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=309 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=339 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=369 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=399 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=429 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
DEAD_TARGET_DIAG frame=459 pos=3480.2,1028.3 speed=0.00 queue=0{} progress=done waypoint=3480.2,1028.9 distToTargetSpot=448.2
